case_id,subject,priority,channel,originating_branch,status,created_at,first_response_at,resolved_at,reopen_count,document_wait_seconds,customer_id
T00001,Roaming charges question,normal,secure_message,CCU-01,resolved,2026-02-18T09:41:30Z,2026-02-18T16:31:24.120000Z,2026-02-19T09:52:42.663402Z,2,0,C00109
T00002,Billing dispute on monthly invoice,normal,email,CCU-01,open,2026-03-27T23:37:32Z,2026-03-28T03:44:21.320000Z,,0,0,C00108
T00003,طلب تغيير باقة البيانات,normal,email,CCU-01,open,2026-03-25T00:12:19Z,2026-03-25T02:49:32.800000Z,,0,4228,C00014
T00004,Plan upgrade inquiry,high,email,CCU-02,resolved,2026-03-12T17:39:12Z,2026-03-13T11:36:15.240000Z,2026-03-14T12:28:18.061983Z,0,0,C00070
T00005,Plan upgrade inquiry,high,email,CCU-02,resolved,2026-02-18T08:05:36Z,2026-02-18T12:34:31.920000Z,2026-02-20T09:27:03.225523Z,0,0,C00021
T00006,Internet outage in area,high,phone,CCU-01,open,2026-02-09T16:07:33Z,2026-02-10T04:46:36.600000Z,,0,47599,C00075
T00007,SIM card replacement request,high,secure_message,CCU-01,closed,2026-03-30T15:05:00Z,,,0,0,C00069
T00008,Router configuration help,high,secure_message,CCU-02,cancelled,2026-03-15T13:17:46Z,2026-03-16T11:32:10Z,,2,76725,C00087
T00009,طلب تغيير باقة البيانات,normal,email,CCU-01,open,2026-01-13T11:05:18Z,2026-01-13T22:07:30.120000Z,,2,0,C00052
T00010,SIM card replacement request,high,phone,CCU-02,open,2026-01-09T21:36:28Z,,,0,0,C00112
T00011,Plan upgrade inquiry,high,phone,CCU-01,resolved,2026-01-21T11:01:49Z,2026-01-21T23:35:13.480000Z,2026-01-23T03:51:04.346807Z,1,0,C00090
T00012,Plan upgrade inquiry,normal,phone,CCU-01,resolved,2026-03-25T03:21:43Z,2026-03-25T09:08:25.600000Z,2026-03-26T02:39:44.597053Z,0,0,C00041
T00013,Router configuration help,high,phone,CCU-01,resolved,2026-01-13T21:38:17Z,,,0,0,C00095
T00014,Plan upgrade inquiry,normal,secure_message,CCU-01,closed,2026-03-21T09:21:53Z,2026-03-21T14:42:33.560000Z,2026-03-22T16:48:55.397907Z,0,0,C00049
T00015,Roaming charges question,high,email,CCU-02,cancelled,2026-01-17T15:38:03Z,2026-01-18T04:35:06.600000Z,,0,0,C00126
T00016,Roaming charges question,normal,phone,CCU-01,resolved,2026-03-12T17:45:14Z,2026-03-12T21:51:34.520000Z,2026-03-13T16:54:05.625628Z,1,0,C00073
